Country,Name,Status,Year,Owner,Turbine_type,Number_turbines,Turbine_model,Proxy_turbine,Turbine_MW,Rotor_radius,Airgap,Data_source
United Kingdom,Muir Mhor Offshore Wind Farm,Planned,2030,Muir Mhòr Offshore Wind Farm Ltd,Floating,54,,IEA-15MW-240-RWT,15,120,30,https://muirmhor.co.uk/about/
United Kingdom,Neart Na Gaoithe Offshore Wind,Construction,2024,EDF Renewables UK,Fixed,54,SG 8.0-167 DD,,8,81.4,,https://nngoffshorewind.com/about/
United Kingdom,Norfolk Boreas,Approved,2027,Vattenfall,Fixed,137,SG 14-236 DD,,14,118,,https://www.power-technology.com/projects/norfolk-boreas-offshore-wind-farm-uk/#catfish
United Kingdom,Norfolk Vanguard Wind Farm,Approved,2027,Vattenfall,Fixed,158,SG 14-236 DD,,14,118,,https://www.power-technology.com/marketdata/power-plant-profile-norfolk-vanguard-uk/
United Kingdom,North Falls,Approved,2030,"RWE Renewables, SSE Renewables",Fixed,72,,,7,77,,https://www.power-technology.com/marketdata/power-plant-profile-north-falls-offshore-wind-farm-uk/
United Kingdom,Ossian Offshore Wind Farm,Planned,2028,"SSE Renewables, Marubeni, CIP",Floating,240,,IEA-15MW-240-RWT,15,120,30,https://www.ossianwindfarm.com/
United Kingdom,Pentland Floating Offshore Wind Farm,Approved,2026,Highland Wind,Floating,6,,,17,120,,https://pentlandfloatingwind.com/the-project/
United Kingdom,R4 Project 1 (Dogger Bank South West),Planned,2030,RWE,Fixed,150,,,10,82,,https://doggerbanksouth.co.uk/
United Kingdom,R4 Project 2 (Dogger Bank South East),Planned,2030,RWE,Fixed,150,,,10,82,,https://doggerbanksouth.co.uk/
United Kingdom,R4 Project 3 (Outer Dowsing),Planned,2030,"Total Energies, Corio Generation, Gulf Energy Developments",Fixed,150,,,10,82,,https://www.outerdowsing.com/
United Kingdom,Race Bank,Production,2018,Ørsted,Fixed,91,SWT-6.0-154,,6,77,,https://www.nsenergybusiness.com/projects/race-bank-offshore-wind-farm-north-sea-uk/
United Kingdom,Scroby Sands,Production,2004,RWE Offshore Wind,Fixed,30,V80-2.0 MW,,2,39,,https://www.power-technology.com/projects/scrobysands/
United Kingdom,Seagreen 1A Offshore Wind Farm,Approved,2030,"TotalEnergies, SSE Renewables",Fixed,36,,,14,110,,
United Kingdom,Seagreen Phase 1 Windfarm,Construction,2023,"TotalEnergies, SSE Renewables",Fixed,114,V164-10,,10,82,,https://www.sserenewables.com/offshore-wind/projects/seagreen/
United Kingdom,Sheringham Shoal,Production,2012,Equinor,Fixed,88,Siemens Wind Power 3.6MW turbines,,3.6,53.5,,http://sheringhamshoal.co.uk/about/facts-and-figures.php
United Kingdom,Sheringham Shoal Extension,Planned,2030,Equinor,Fixed,21,,IEA-15MW-240-RWT,15,120,,https://www.equinor.com/news/uk/sheringham-shoal-and-dudgeon-extensions-secure-pathfinder-status
United Kingdom,Shetland NE1: map reference 20,Planned,2030,ESB Asset Development,Floating,33,,IEA-15MW-240-RWT,15,120,,https://www.crownestatescotland.com/news/three-shetland-scotwind-projects-announced
United Kingdom,Sofia,Construction,2026,RWE,Fixed,100,SG 14-222 DD,,14,111,,https://sofiawindfarm.com/
United Kingdom,Stromar,Planned,2030,"Ørsted, BlueFloat Energy, Renantis ",Floating,67,,IEA-15MW-240-RWT,15,120,30,https://www.stromarwind.co.uk/
United Kingdom,Teesside,Production,2014,EDF Renewables UK,Fixed,27,SWT-2.3-93,,2.3,40,,https://www.edf-re.uk/our-sites/teesside/
United Kingdom,Thanet,Production,2010,Vattenfall,Fixed,100,V90-3.0 MW,,3,45,,https://powerplants.vattenfall.com/thanet/
United Kingdom,Triton Knoll,Production,2022,"RWE, J-Power, Kansai Electric Power",Fixed,90,V164-9.5,,9.5,82,,https://www.tritonknoll.co.uk/
United Kingdom,West of Orkney Wind Farm,Planned,2029,"Corio, TotalEnergies, RIDG",Fixed,133,,IEA-15MW-240-RWT,15,120,30,https://www.westoforkney.com/
United Kingdom,Westermost Rough,Production,2015,"Done Energy, Marubeni Corporation, UK Green Investment Bank",Fixed,35,SWT-6.0-154,,6,77,,https://www.power-technology.com/projects/westermost-rough-offshore-wind-farm-yorkshire/
